Rank,Node,MessageSize,AverageTimePerExchange
57,nvf-005,2,0.000002
57,nvf-005,4,0.000014
57,nvf-005,8,0.000015
57,nvf-005,16,0.000000
57,nvf-005,32,0.000006
57,nvf-005,64,0.000000
57,nvf-005,128,0.000003
57,nvf-005,256,0.000000
57,nvf-005,512,0.000009
57,nvf-005,1024,0.000001
57,nvf-005,2048,0.000002
57,nvf-005,4096,0.000004
58,nvf-005,2,0.000002
58,nvf-005,4,0.000013
58,nvf-005,8,0.000000
58,nvf-005,16,0.000015
58,nvf-005,32,0.000000
58,nvf-005,64,0.000006
58,nvf-005,128,0.000002
58,nvf-005,256,0.000001
58,nvf-005,512,0.000009
58,nvf-005,1024,0.000001
58,nvf-005,2048,0.000001
58,nvf-005,4096,0.000004
59,nvf-005,2,0.000002
59,nvf-005,4,0.000001
59,nvf-005,8,0.000013
59,nvf-005,16,0.000013
59,nvf-005,32,0.000001
59,nvf-005,64,0.000002
59,nvf-005,128,0.000004
59,nvf-005,256,0.000002
59,nvf-005,512,0.000010
59,nvf-005,1024,0.000001
59,nvf-005,2048,0.000001
59,nvf-005,4096,0.000004
60,nvf-005,2,0.000002
60,nvf-005,4,0.000000
60,nvf-005,8,0.000000
60,nvf-005,16,0.000027
60,nvf-005,32,0.000000
60,nvf-005,64,0.000001
60,nvf-005,128,0.000002
60,nvf-005,256,0.000004
60,nvf-005,512,0.000011
60,nvf-005,1024,0.000001
60,nvf-005,2048,0.000001
60,nvf-005,4096,0.000005
61,nvf-005,2,0.000002
61,nvf-005,4,0.000001
61,nvf-005,8,0.000027
61,nvf-005,16,0.000001
61,nvf-005,32,0.000000
61,nvf-005,64,0.000002
61,nvf-005,128,0.000001
61,nvf-005,256,0.000001
61,nvf-005,512,0.000004
61,nvf-005,1024,0.000010
61,nvf-005,2048,0.000003
61,nvf-005,4096,0.000073
62,nvf-005,2,0.000002
62,nvf-005,4,0.000108
62,nvf-005,8,0.000000
62,nvf-005,16,0.000001
62,nvf-005,32,0.000001
62,nvf-005,64,0.000000
62,nvf-005,128,0.000003
62,nvf-005,256,0.000001
62,nvf-005,512,0.000002
62,nvf-005,1024,0.000002
62,nvf-005,2048,0.000003
62,nvf-005,4096,0.000101
63,nvf-005,2,0.000205
63,nvf-005,4,0.000001
63,nvf-005,8,0.000001
63,nvf-005,16,0.000001
63,nvf-005,32,0.000001
63,nvf-005,64,0.000001
63,nvf-005,128,0.000001
63,nvf-005,256,0.000001
63,nvf-005,512,0.000001
63,nvf-005,1024,0.000002
63,nvf-005,2048,0.000002
63,nvf-005,4096,0.000005
