Rank,Node,MessageSize,AverageTimePerExchange
61,nvf-005,2,0.000309
61,nvf-005,4,0.000004
61,nvf-005,8,0.000003
61,nvf-005,16,0.000004
61,nvf-005,32,0.000004
61,nvf-005,64,0.000005
61,nvf-005,128,0.000005
61,nvf-005,256,0.000006
61,nvf-005,512,0.000006
61,nvf-005,1024,0.000010
61,nvf-005,2048,0.000020
61,nvf-005,4096,0.000039
62,nvf-005,2,0.000309
62,nvf-005,4,0.000004
62,nvf-005,8,0.000003
62,nvf-005,16,0.000004
62,nvf-005,32,0.000004
62,nvf-005,64,0.000005
62,nvf-005,128,0.000005
62,nvf-005,256,0.000006
62,nvf-005,512,0.000006
62,nvf-005,1024,0.000010
62,nvf-005,2048,0.000020
62,nvf-005,4096,0.000039
63,nvf-005,2,0.000310
63,nvf-005,4,0.000004
63,nvf-005,8,0.000003
63,nvf-005,16,0.000004
63,nvf-005,32,0.000004
63,nvf-005,64,0.000005
63,nvf-005,128,0.000005
63,nvf-005,256,0.000006
63,nvf-005,512,0.000006
63,nvf-005,1024,0.000010
63,nvf-005,2048,0.000020
63,nvf-005,4096,0.000033
